               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.060382,            0.078012,             0.10381,           0.0018558,            0.037399,           0.0047106,           0.0017636,            0.049321,            0.065125,            0.092229,           0.0098317,           0.0098317,           0.0098317
                  36,            0.055078,            0.090378,             0.10088,           0.0029096,             0.04324,            0.005894,           0.0025351,            0.047903,            0.063651,            0.092022,           0.0098268,           0.0098268,           0.0098268
                  37,            0.056223,            0.083591,             0.10187,           0.0024519,            0.047378,           0.0054954,           0.0022258,            0.050213,            0.061612,              0.0917,           0.0098218,           0.0098218,           0.0098218
                  38,            0.054626,             0.08938,            0.098695,           0.0029006,            0.040604,           0.0050359,           0.0017281,            0.052243,            0.063443,            0.091397,           0.0098169,           0.0098169,           0.0098169
                  39,            0.059116,            0.090307,             0.09992,           0.0041182,            0.065694,            0.010475,           0.0057912,            0.048091,            0.061029,            0.090803,           0.0098119,           0.0098119,           0.0098119
                  40,            0.055804,            0.081906,            0.099156,           0.0025397,            0.075143,           0.0086033,            0.004667,             0.04922,            0.059769,            0.090891,            0.009807,            0.009807,            0.009807
                  41,            0.056051,            0.079127,            0.099345,           0.0021586,            0.064708,           0.0067307,           0.0025755,            0.053245,            0.060593,            0.090933,            0.009802,            0.009802,            0.009802
                  42,            0.055532,             0.08786,            0.099319,           0.0020968,            0.051175,           0.0059217,            0.002157,            0.053715,             0.06512,            0.091083,            0.009797,            0.009797,            0.009797
                  43,            0.053822,            0.090325,            0.097718,           0.0027744,            0.087857,            0.010932,           0.0056869,            0.048095,             0.06434,            0.090366,           0.0097921,           0.0097921,           0.0097921
                  44,            0.054857,            0.077901,             0.09935,           0.0031662,            0.085896,            0.010318,           0.0050265,            0.048365,            0.061719,            0.090028,           0.0097871,           0.0097871,           0.0097871
                  45,            0.052748,            0.079801,            0.098767,           0.0029084,            0.092118,            0.010171,           0.0046708,            0.050404,            0.060666,            0.090059,           0.0097822,           0.0097822,           0.0097822
                  46,            0.055158,            0.084736,            0.096986,           0.0034784,            0.078065,           0.0090838,           0.0038198,            0.056119,            0.059445,            0.089657,           0.0097773,           0.0097773,           0.0097773
                  47,            0.055486,            0.081386,            0.098078,           0.0030336,             0.10854,             0.01092,           0.0049543,            0.046903,            0.063945,            0.089335,           0.0097723,           0.0097723,           0.0097723
                  48,            0.052456,            0.090014,            0.096105,           0.0030301,             0.11031,            0.011625,           0.0059977,            0.045964,            0.060899,            0.089181,           0.0097674,           0.0097674,           0.0097674
                  49,            0.050919,            0.082785,             0.09919,           0.0029233,             0.10256,            0.010418,           0.0048387,            0.046432,            0.058855,            0.088802,           0.0097624,           0.0097624,           0.0097624
                  50,            0.053665,            0.081756,            0.098924,           0.0030691,             0.06784,            0.010803,           0.0039665,            0.057227,            0.061649,             0.08856,           0.0097575,           0.0097575,           0.0097575
                  51,            0.056174,            0.075516,            0.097343,           0.0029967,            0.088511,           0.0085301,           0.0040655,            0.047387,            0.058049,            0.088238,           0.0097525,           0.0097525,           0.0097525
                  52,            0.052839,             0.08341,             0.09588,           0.0030874,            0.063508,           0.0090234,           0.0028733,            0.056151,            0.058226,             0.08828,           0.0097476,           0.0097476,           0.0097476
                  53,            0.052452,             0.07672,            0.097593,           0.0032225,            0.092811,            0.010085,           0.0051327,            0.051265,             0.05376,            0.087636,           0.0097426,           0.0097426,           0.0097426
                  54,             0.05283,            0.076224,            0.096202,           0.0039332,            0.078158,            0.009547,           0.0043807,            0.049658,            0.054189,            0.087237,           0.0097377,           0.0097377,           0.0097377
                  55,            0.054114,            0.085393,            0.096352,           0.0033783,            0.085417,           0.0095046,           0.0047054,            0.042094,            0.054063,            0.087015,           0.0097327,           0.0097327,           0.0097327
                  56,            0.051422,            0.083927,            0.097377,           0.0028974,             0.11311,            0.010922,           0.0048929,            0.046047,            0.053169,            0.086915,           0.0097278,           0.0097278,           0.0097278
                  57,             0.05127,            0.081945,            0.097313,            0.002952,            0.091756,            0.009741,           0.0046835,            0.047074,            0.053064,            0.086831,           0.0097228,           0.0097228,           0.0097228
                  58,             0.05055,            0.074094,            0.096585,           0.0026894,             0.10114,           0.0088321,           0.0032338,            0.054399,            0.053056,            0.086758,           0.0097179,           0.0097179,           0.0097179
                  59,             0.05459,            0.077096,            0.095029,           0.0029435,             0.10535,            0.010263,           0.0044447,            0.044657,            0.053311,            0.086417,           0.0097129,           0.0097129,           0.0097129
                  60,            0.052781,            0.074805,            0.096808,           0.0036773,             0.12328,            0.012455,           0.0058639,            0.043999,             0.05313,            0.086195,            0.009708,            0.009708,            0.009708
                  61,            0.051899,            0.074901,            0.095098,           0.0031985,              0.1221,             0.01349,            0.006325,            0.047538,            0.053146,            0.086137,            0.009703,            0.009703,            0.009703
                  62,            0.050966,            0.079086,            0.094167,           0.0033184,            0.085126,            0.013005,           0.0057824,            0.049202,            0.052336,            0.085811,            0.009698,            0.009698,            0.009698
                  63,            0.053052,            0.072239,              0.0954,           0.0033942,             0.13089,            0.015148,           0.0072492,            0.039758,            0.056453,            0.085593,           0.0096931,           0.0096931,           0.0096931
                  64,            0.046216,            0.073507,             0.09328,           0.0031641,             0.10944,            0.013934,           0.0065083,            0.042234,            0.053618,            0.085623,           0.0096881,           0.0096881,           0.0096881
                  65,            0.049699,            0.076413,            0.094622,           0.0036019,             0.10135,            0.015026,           0.0074558,            0.043149,            0.051538,            0.085294,           0.0096832,           0.0096832,           0.0096832
                  66,            0.050694,            0.065832,            0.093048,           0.0033891,             0.10865,            0.012034,           0.0047354,            0.049673,            0.050174,            0.084903,           0.0096783,           0.0096783,           0.0096783
                  67,            0.051547,            0.072099,            0.094783,           0.0032412,             0.10881,            0.012781,           0.0061561,            0.039887,            0.050056,            0.084937,           0.0096733,           0.0096733,           0.0096733
                  68,            0.047857,            0.077938,             0.09477,           0.0034966,             0.11895,            0.014692,           0.0080533,            0.041259,            0.051199,            0.085037,           0.0096684,           0.0096684,           0.0096684
                  69,            0.051286,            0.073901,            0.095664,           0.0036403,             0.12213,            0.015077,           0.0074838,            0.041904,            0.049701,            0.084665,           0.0096634,           0.0096634,           0.0096634
                  70,            0.049947,            0.072612,            0.095111,           0.0037053,             0.11576,            0.014309,           0.0049883,            0.047728,            0.050807,            0.084765,           0.0096585,           0.0096585,           0.0096585
